"domain","name","type","title","title_t","help","help_t"
"","","menu","Document Templates","Modèles de document","",""
"","","menu","Configuration","Configuration","",""
"","","menu","Settings","Configurations","",""
"","","menu","Google Apps","Google Apps","",""
"","","menu","Sync Settings","Paramètres de synchronisation","",""
"","","menu","Directories","Répertoires","",""
"","","menu","Document","Document","",""
"","","menu","Shared With Me","Partagés avec moi","",""
"","","menu","SpreadSheet","Tableur","",""
"","","menu","Template SpreadSheet","Les Modèles de tableur","",""
"","","menu","Trashed Directories","Les répertoires supprimés","",""
"","","menu","Trashed Files","Les fichiers supprimés","",""
"","","menu","User Profile","Profil de l'utilisateur","",""
"","","select","Google Document","Document Google","",""
"","","select",".txt","","",""
"","","select",".odt","","",""
"","","select",".docx","","",""
"","","select",".pdf","","",""
"","","select",".csv","","",""
"","","select","1 Day","1 Jour","",""
"","","select","2 Days","2 Jours","",""
"","","select","5 Days","5 Jours","",""
"","","select","1 Week","1 Semaine","",""
"","","select","2 Weeks","2 Semaines","",""
"","","select","4 Weeks","4 Semaines","",""
"","","select","=","","",""
"","","select","<","","",""
"","","select",">","","",""
"","","select","Google Document","Document Google","",""
"","","select",".txt","","",""
"","","select",".odt","","",""
"","","select",".docx","","",""
"","","select",".pdf","","",""
"","","select",".csv","","",""
"","","select","Google Spreadsheet","Tableur Google","",""
"","","select","Google Presentation","Présentation Google","",""
"","","select","Google Spreadsheet","Tableur Google","",""
"com.axelor.apps.googleapps.db.AppsCredentials","","view","AppsCredentials","Identifiants application","",""
"com.axelor.apps.googleapps.db.AppsCredentials","archived","field","","","",""
"com.axelor.apps.googleapps.db.AppsCredentials","","view","AppsCredentials","Identifiants application","",""
"com.axelor.apps.googleapps.db.AppsCredentials","archived","field","","","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Cancel","Annuler","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Copy","Copier","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Refresh","Rafraîchir","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Search","Recherche","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Download","Télécharger","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Open","Ouvert","",""
"com.axelor.apps.googleapps.db.GoogleFile","","view","Google Document","Document Google","",""
"com.axelor.apps.googleapps.db.GoogleFile","","group","Google Document","Document Google","",""
"com.axelor.apps.googleapps.db.GoogleFile","","group","this section is required to select a file with which you want to make perform operation","cette section est obligatoire pour pouvoir sélectionner un fichier à traiter.","",""
"com.axelor.apps.googleapps.db.GoogleFile","","group","Document File Details","Détails du document","",""
"com.axelor.apps.googleapps.db.GoogleFile","","viewField","File Name","Nom fichier","",""
"com.axelor.apps.googleapps.db.GoogleFile","","viewField","Directory","Répertoire","",""
"com.axelor.apps.googleapps.db.GoogleDirectory","","view","Directory Selection","Sélectionner le répertoire","",""
"com.axelor.apps.googleapps.db.GoogleDirectory","","viewField","Directory Name","Nom du répertoire","",""
"com.axelor.apps.googleapps.db.GoogleFile","","group","Create Document in Drive View","Créer Document sur Drive","",""
"com.axelor.apps.googleapps.db.GoogleFile","","viewField","Use Drive","Utiliser Drive","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","<font color='#228B22' > <b>Create In Drive</b> </font>","Créer dans Drive","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Do you want to Create Document in Google Drive View ?","Souhaitez-vous créer un document dans Google Drive ?","",""
"com.axelor.apps.googleapps.db.GoogleFile","","group","Document Editor","Editeur de documents","",""
"com.axelor.apps.googleapps.db.GoogleFile","","viewField","Document Content","Contenu du document","",""
"com.axelor.apps.googleapps.db.GoogleFile","","group","Sharing Permissions","Paramètres de partage","",""
"com.axelor.apps.googleapps.db.GoogleFile","","group","Actions","Actions","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Export Pdf","Exporter en PDF","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","It will export this document file in PDF format, Continue ?","Cet action exportera le Document au format PDF, souhaitez-vous continuer ?","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Download","Télécharger","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Open","Ouvert","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Want to Open the document in Drive view ?","Désirez-vous ouvrir le document dans Google Drive ?","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Refresh","Rafraîchir","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Search","Recherche","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Delete","Supprimer","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Download","Télécharger","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","select the file to download and then click here","Sélectionez le fichier à télécharger et cliquez ici","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Open","Ouvert","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Opens the document in Drive view","Ouvrir le document dans Drive","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Move To Trash","Mettre dans la corbeille","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","It will move selected file(s) to trash, Are You Sure ?","Etes-vous certains de vouloir placer ce document dans la corbeille ?","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","Delete","Supprimer","",""
"com.axelor.apps.googleapps.db.GoogleFile","","button","It will remove selected file(s) permanently, Are You Sure ?","Ce fichier sera supprimé définitivement. Souhaitez-vous continuer ?","",""
"com.axelor.apps.googleapps.db.GoogleFile","","view","Documents","Documents","",""
"com.axelor.apps.googleapps.db.GoogleFile","","viewField","File Name","Nom fichier","",""
"com.axelor.apps.googleapps.db.GoogleFile","","viewField","File Size","Taille fichier","",""
"com.axelor.apps.googleapps.db.GoogleFile","","viewField","Directory","Répertoire","",""
"com.axelor.apps.googleapps.db.GoogleFile","","viewField","Last Modified","Dernière modification","",""
"com.axelor.apps.googleapps.db.GoogleFile","","viewField","Shared To","Partagé avec","",""
"com.axelor.apps.googleapps.db.FilePermission","","view","File Sharing Permissions","Propriétés de partage des fichiers","",""
"com.axelor.apps.googleapps.db.FilePermission","","viewField","User","Utilisateur","",""
"com.axelor.apps.googleapps.db.FilePermission","","viewField","Email Address","Adresse Email","",""
"com.axelor.apps.googleapps.db.FilePermission","","label","Pass Email Address for sharing other than ABS user.","","",""
