"key","message","comment","context"
"<p>WARNING: Order has been modified on PrestaShop but could not be updated locally.</p>","<p>ATTENTION : la commande a été modifiée sur PrestaShop mais les modifications n'ont pas pu être répercutées.</p>",,
"Action",,,
"An HTTP error occured while checking access rights: %s","Une erreur est survenue lors de la vérification des permissions : %s",,
"An error occured while checking Prestashop access rights: %s, see server logs for details","Une erreur est survenue lors de la vérification des permissions : %s, consultez les fichiers journaux pour plus de détails",,
"Anomalies",,,
"App prestashop",,,
"Axelor texts languages (for descriptions of products, name of countries, aso.)","Langue des textes sous Axelor (description des produits, noms des pays, etc.)",,
"Batch",,,
"Batch %s unknown",,,
"Batches",,,
"Code",,,
"Company",,,
"Connection","Connexion",,
"Connection successful",,,
"Countries are handled on prestashop","Les pays sont gérées sous PrestaShop",,
"Created by",,,
"Created on",,,
"Currencies are handled on prestashop","Les devises sont gérées sous PrestaShop",,
"Customers are handled on prestashop","Les clients sont gérés sous PrestaShop",,
"DELETE permission is missing for entity %s, related entities wont be correctly updated","La permission DELETE est manquante pour l'entité %s, les éléments correspondants ne seront pas mis à jour correctement",,
"Default payment condition","Conditions de paiement par défaut",,
"Default payment mode","Mode de paiement par défaut",,
"Default product for deliveries fees","Produit par défaut pour les frais de livraison",,
"Default sale account for product",,,
"Default sale account for tax",,,
"Default tax rate","Taux de taxe par défaut",,
"Delivered",,,
"Delivered orders will be set to this status","Statut des commandes marquées comme livrées",,
"Description",,,
"Email address presta shop version",,,
"Error while fetching metadata, please perform a connection check: %s","Erreur lors de la récupération des métadonnées, veuillez effectuer un test de connexion : %s",,
"Export",,,
"Export completed","Export terminé",,
"Export non-Prestashop customers","Exporter les clients ne provenant pas de PrestaShop",,
"Export non-Prestashop customers' orders","Exporter les commandes ne provenant pas de PrestaShop",,
"Export options (ABS → PrestaShop)","Options d'export (ABS → PrestaShop)",,
"Export products not flagged as sellable","Exporter les produits non-marqués comme Vendables",,
"Extra permission for %s is uneeded","Les permissions pour l'entité %s sont inutiles",,
"GET permission is missing for entity %s, related entities cannot be read","La permission GET est manquante pour l'entité %s, les éléments correspondants ne pourront pas être lus",,
"If checked, all customers will be synchronized to prestashop, not only those created on it","Si actif, tous les clients seront synchronisés vers PrestaShop et non uniquement ceux en provenant",,
"If checked, all orders will be synchronized to prestashop, not only those created on it","Si actif, toutes les commandes seront synchronisées vers PrestaShop et non uniquement celles en provenant",,
"If checked, all products, event those not marked as non-sellable, will be exported","Si actif, tous les produits seront synchronisés vers PrestaShop, même ceux marqués comme n'étant pas vendables",,
"If checked, export process will not update existing remote categories and local categories' data will be overwritten by PrestaShop data","Si actif, les catégories distantes ne seront pas mises à jour et les informations sur les catégories locales seront écrasées par celles saisies sous PrestaShop",,
"If checked, export process will not update existing remote countries and local countries data will be overwritten by PrestaShop data","Si actif, les pays distants ne seront pas mis à jour et les informations sur les pays locaux seront écrasées par celles saisies sous PrestaShop",,
"If checked, export process will not update existing remote currencies and local currencies data will be overwritten by PrestaShop data","Si actif, les devises distantes ne seront pas mises à jour et les informations sur les devises locales seront écrasées par celles saisies sous PrestaShop",,
"If checked, export process will not update existing remote customers and local customers' data will be overwritten by PrestaShop data","Si actif, les clients distants ne seront pas mis à jour et les informations sur les clients locaux seront écrasées par celles saisies sous PrestaShop",,
"If checked, export process will not update existing remote products and local product's data will be overwritten by PrestaShop data",,,
"If checked, export process will not update existing remote taxes and local taxes's data will be overwritten by PrestaShop data",,,
"If checked, this means that all orders are handled on prestashop. You'll not use Axelor for anything except creating orders that will be sent & managed on PrestaShop. This means, among other things, no stock handling on Axelor side. If unchecked, import process will only create order taken from prestashop and all order management will be done on Axelor.","Si actif, toutes les commandes sont gérées sous PrestaShop. ABS ne sera utilisé que pour créer des commandes qui seront transmises sous PrestaShop pour y être traitées. Cela signifie, entre autres, aucune gestion de stock côté ABS. Si désactivé, le processus d'import récupèrera les nouvelles commandes depuis PrestaShop et toute la gestion sera faite sous ABS.",,
"Import",,,
"Import completed","Import terminé",,
"Import options (PrestaShop → ABS)","Options d'import (PrestaShop → ABS)",,
"Import prestashop status",,,
"Imported from Axelor","Importé depuis Axelor",,
"Information",,,
"Invoice created from Axelor","Facture créée depuis Axelor",,
"Invoiced",,,
"Logs","Journaux",,
"Missing access rights for entities %s","Droits d'accès manquants pour les entités %s",,
"Missing access rights for entity %s","Droits d'accès manquants pour l'entité %s",,
"Name",,,
"Number of digits after decimal point for sales price","Nombre de chiffre après la virgule pour les prix de vente",,
"Orders are handled exclusively on PrestaShop","Les commandes sont gérées exclusivement sous PrestaShop",,
"Orders invoiced but not paid will be set to this status","Statut des commandes facturées mais non réglées",,
"Orders paid but not delivered will be set to this status","Statut des commandes payées mais non livrées",,
"Orders with a Confirmed/Finalized/Finished status but neither paid nor delivered nor invoiced will be set to this status","Statut des commandes confirmées/finalisées/terminées mais ni payées, ni livrées, ni facturées",,
"POST permission is missing for entity %s, related entities won't be created","La permission POST est manquante pour l'entité %s, les éléments correspondants ne seront pas créés",,
"PUT permission is missing for entity %s, related entities won't be updated","La permission PUT est manquante pour l'entité %s, les éléments correspondants ne seront pas mis à jour",,
"Paid","Payée",,
"Payment Mode",,,
"Please configure PrestaShop app","Veuillez configurer l'app PrestaShop",,
"Presta shop",,,
"Presta shop batch","Traitement par lot PrestaShop",,
"Presta shop batch log","Journal du traitement par lot PrestaShop",,
"Presta shop image",,,
"Presta shop image version",,,
"Presta shop status","Statut PrestaShop",,
"Presta shop update date time",,,
"Presta shop version",,,
"Presta shop zone","Zone PrestaShop",,
"PrestaShop Batch Import/Export","Import/Export PrestaShop",,
"PrestaShop Export","Export PrestaShop",,
"PrestaShop Import","Import PrestaShop",,
"PrestaShop Import/Export","Import/Export PrestaShop",,
"PrestaShop base URL","Adresse de base PrestaShop",,
"PrestaShop batch","Traitement par lot PrestaShop",,
"PrestaShop batches","Traitements par lot PrestaShop",,
"PrestaShop status for confirmed orders","Statut PrestaShop pour les commandes confirmées",,
"PrestaShop status for delivered orders","Statut PrestaShop pour les commandes livrées",,
"PrestaShop status for invoiced orders","Statut PrestaShop pour les commandes facturées",,
"PrestaShop status for paid orders","Statut PrestaShop pour les commandes payées",,
"PrestaShop webservices key","Clé WebServices PrestaShop",,
"PrestaShop's default country",,,
"PrestaShop's default currency","Devise par défaut PrestaShop",,
"PrestaShop's length unit","Unité de longueur PrestaShop",,
"PrestaShop's weight unit","Unité de poids PrestaShop",,
"Prestashop addresses export",,,
"Prestashop countries export",,,
"Prestashop currencies export",,,
"Prestashop customers export",,,
"Prestashop order import","Import de commande PrestaShop",,
"Prestashop orders export",,,
"Prestashop orders import",,,
"Prestashop product categories export",,,
"Prestashop product images export",,,
"Prestashop products export",,,
"Prestashop products import",,,
"Prestashop stocks export",,,
"Prestashop taxes export",,,
"Prestashop taxes import",,,
"Product Synchronized in Prestashop","Produit synchronisé dans Prestashop",,
"Product used to apply discount to the whole order, not per product",,,
"Products are handled on prestashop","Les produits sont gérés sous PrestaShop",,
"Products categories are handled on prestashop","Les catégories de produit sont gérées sous PrestaShop",,
"Reference data","Données de référence",,
"Sale order status","Statut des commandes",,
"Shipped","Expédiée",,
"Taxes are handled on prestashop",,,
"Test",,,
"This allows to tweak which ""side"" has reference data on various entities to avoid back and forth overwrites.","Permet de définir quel « côté » détient les données de référence pour éviter des écritures en boucle",,
"Unknown action %s for prestashop batch %s","Action %s inconnue pour le traitement par lot PrestaShop %s",,
"Used on import if carrier cannot be mapped to a local shipping cost product","Utilisé en import si le transporteur ne peut pas être mis en correspondance avec un transporteur de la base locale",,
"Used on import if no local payment condition with the same name as the PrestaShop one exists","Utilisé en import si aucune condition de paiement du même nom que celle figurant dans la commande PrestaShop n'existe dans la base locale",,
"Used on import if no payment mode matches the remote one cannot be found","Utilisé en import si aucun mode de paiement n'est trouvé en local",,
"Used when import tax for accounting configuration of tax",,,
"Used when import tax for the product",,,
"Used when tax rate cannot be determined","Utilisé lorsqu'aucun taux de taxe ne peut être déterminé",,
"Valid","Valide",,
"https://my.shop.com","https://ma.boutique.com",,
"value:PrestaShop",,,
