"key","message","comment","context"
"Always",,,
"Annotation",,,
"Annotation %s not found!",,,
"Annotation id",,,
"Annotation result",,,
"Annotation url",,,
"Annotations",,,
"App Rossum",,,
"At least one required field is empty, please fill it",,,
"Automation level",,,
"CSV",,,
"CSV file",,,
"CZ Demo Template",,,
"Can export",,,
"Company",,,
"Confident",,,
"Config",,,
"Configurations",,,
"Confirmed",,,
"Consolidate invoice lines",,,
"Corrected",,,
"Could not process document: %s",,,
"Could not submit invoice: %s",,,
"Create Queue",,,
"Create schema",,,
"Currency",,,
"Customer",,,
"Customer VAT number",,,
"Customer name",,,
"Deleted",,,
"Dms file url",,,
"Due date",,,
"EU Demo Template",,,
"Error generating invoice. Please check 'Traceback' for details.",,,
"Export",,,
"Export annotation",,,
"Export type",,,
"Exported",,,
"Field id",,,
"Fill template details",,,
"Generate Invoice",,,
"Generate Template",,,
"Get annotation from Rossum",,,
"Get organisation from Rossum",,,
"Get queue from Rossum",,,
"Get schemas from Rossum",,,
"Get workspace from Rossum",,,
"Invalid Rossum Username or password. Please enter correct Rossum username and password.",,,
"Invoice",,,
"Invoice Id %s already exists!",,,
"Invoice document Subtype",,,
"Invoice document Type",,,
"Invoice number",,,
"Invoice ocr template",,,
"Invoice ocr template N°",,,
"Issue date",,,
"It lasts upto 162 hours unless user logouts",,,
"JSON",,,
"Json Data",,,
"Label",,,
"Login",,,
"Never",,,
"Order number",,,
"Organisation",,,
"Organisation id",,,
"Organisation name",,,
"Organisation result",,,
"Organisation url",,,
"Organisations",,,
"Parent schema field id",,,
"Password",,,
"Please Upload PDF or PNG or JPEG file only!",,,
"Please enter seconds in multiple of 5",,,
"Please upload file with max. 32 pages",,,
"Postponed",,,
"Queue",,,
"Queue id",,,
"Queue name",,,
"Queue not found!",,,
"Queue result",,,
"Queue url",,,
"Queues",,,
"Recognise",,,
"Require field",,,
"Required Fields are missing for %s Model. Please check 'Traceback' for details",,,
"Reset",,,
"Rossum",,,
"Rossum details",,,
"Schema",,,
"Schema field",,,
"Schema fields",,,
"Schema id",,,
"Schema name",,,
"Schema result",,,
"Schema template",,,
"Schema url",,,
"Sender name",,,
"Status",,,
"Supplier",,,
"Technical informations",,,
"Template",,,
"Template Name",,,
"Time out after %d seconds. Please check 'Traceback' for details",,,
"Timeout (Sec.)",,,
"To correct in Rossum",,,
"To review",,,
"Token",,,
"Token created on",,,
"Tools",,,
"Total amount",,,
"Total amount is not equal to total amount without tax + total tax",,,
"Total tax",,,
"Total without tax",,,
"UK Demo Template",,,
"US Demo Template",,,
"Update Queue",,,
"Update Workspace",,,
"Update details",,,
"Update schema",,,
"Use confirmed state",,,
"User name",,,
"Valid connection",,,
"Validate",,,
"Validated",,,
"Vendor VAT number",,,
"Warning, existing exported data will be deleted, do you wish to continue?",,,
"Workspace",,,
"Workspace id",,,
"Workspace name",,,
"Workspace result",,,
"Workspace url",,,
"Workspaces",,,
"XML",,,
"rossum.Schema","Schema",,
"rossum.Schemas","Schemas",,
