"key","message","comment","context"
"Always",,,
"Annotation",,,
"Annotation %s not found!",,,
"Annotation id",,,
"Annotation result",,,
"Annotation url",,,
"Annotations",,,
"App Rossum",,,
"At least one required field is empty, please fill it",,,
"Automation level",,,
"CSV",,,
"CSV file",,,
"CZ Demo Template",,,
"Can export",,,
"Company",,,
"Confident",,,
"Config",,,
"Configurations",,,
"Confirmed",,,
"Consolidate invoice lines",,,
"Corrected",,,
"Could not process document: %s",,,
"Could not submit invoice: %s",,,
"Create Queue",,,
"Create schema",,,
"Currency",,,
"Customer",,,
"Customer VAT number",,,
"Customer name",,,
"Deleted",,,
"Dms file url",,,
"Due date",,,
"EU Demo Template",,,
"Error generating invoice. Please check 'Traceback' for details.",,,
"Export",,,
"Export annotation",,,
"Export type",,,
"Exported",,,
"Field id",,,
"Fill template details",,,
"Generate Invoice","Générer facture",,
"Generate Template","Générer le modèle",,
"Get annotation from Rossum","Récupérer les annotations depuis Rossum",,
"Get organisation from Rossum","Récupérer les organisation depuis Rossum",,
"Get queue from Rossum","Récupérer les queue depuis Rossum",,
"Get schemas from Rossum","Récupérer les schémas depuis Rossum",,
"Get workspace from Rossum","Récupérer les espaces de travail depuis Rossum",,
"Invalid Rossum Username or password. Please enter correct Rossum username and password.",,,
"Invoice",,,
"Invoice Id %s already exists!",,,
"Invoice document Subtype",,,
"Invoice document Type",,,
"Invoice number",,,
"Invoice ocr template","Modèle de facture OCR",,
"Invoice ocr template N°",,,
"Issue date",,,
"It lasts upto 162 hours unless user logouts",,,
"JSON",,,
"Json Data",,,
"Label",,,
"Login",,,
"Never",,,
"Order number",,,
"Organisation",,,
"Organisation id","ID de l'organisation",,
"Organisation name","Nom de l'organisation",,
"Organisation result",,,
"Organisation url","URL de l'organisation",,
"Organisations",,,
"Parent schema field id",,,
"Password",,,
"Please Upload PDF or PNG or JPEG file only!",,,
"Please enter seconds in multiple of 5","Veuillez entrez uniquement des un multiple de 5",,
"Please upload file with max. 32 pages",,,
"Postponed",,,
"Queue",,,
"Queue id","ID de la queue",,
"Queue name","Nom de la queue",,
"Queue not found!",,,
"Queue result",,,
"Queue url","URL de la queue",,
"Queues",,,
"Recognise",,,
"Require field",,,
"Required Fields are missing for %s Model. Please check 'Traceback' for details",,,
"Reset",,,
"Rossum",,,
"Rossum details",,,
"Schema",,,
"Schema field",,,
"Schema fields","Champs du schema",,
"Schema id","ID du schéma",,
"Schema name",,,
"Schema result",,,
"Schema template",,,
"Schema url","URL du schéma",,
"Sender name","Nom du schéma",,
"Status",,,
"Supplier",,,
"Technical informations",,,
"Template",,,
"Template Name",,,
"Time out after %d seconds. Please check 'Traceback' for details",,,
"Timeout (Sec.)",,,
"To correct in Rossum","Corriger sur Rossum",,
"To review",,,
"Token",,,
"Token created on","Token créé le",,
"Tools",,,
"Total amount",,,
"Total amount is not equal to total amount without tax + total tax",,,
"Total tax",,,
"Total without tax",,,
"UK Demo Template",,,
"US Demo Template",,,
"Update Queue","Mettre à jour la queue",,
"Update Workspace",,,
"Update details","Mise à jour des informations",,
"Update schema","Mettre à jour le schéma",,
"Use confirmed state",,,
"User name","Nom d'utilisateur",,
"Valid connection","Connexion valide",,
"Validate","Valider",,
"Validated","Valider",,
"Vendor VAT number",,,
"Warning, existing exported data will be deleted, do you wish to continue?",,,
"Workspace",,,
"Workspace id","ID de l'espace de travail",,
"Workspace name","Nom de l'espace de travail",,
"Workspace result",,,
"Workspace url","URL de l'espace de travail",,
"Workspaces","Espaces de travail",,
"XML",,,
"rossum.Schema","Schéma",,
"rossum.Schemas","Schémas",,
