"key","message","comment","context"
"Access code","Code d'accès",,
"Active webhook",,,
"Anchor",,,
"Anchor X offset",,,
"Anchor Y offset",,,
"Anchor units",,,
"App",,,
"App docu sign",,,
"Approve",,,
"Base uri",,,
"Bold",,,
"Certificate",,,
"Certificate of completion",,,
"Check envelope status","Activer status enveloppe",,
"Check recipient status","Activer status signataire",,
"Checkbox",,,
"Company",,,
"Company default Path",,,
"Completed",,,
"Completed date time","Complété le",,
"Configuration",,,
"Create envelope","Créer enveloppe",,
"Decline",,,
"Declined","Refusé",,
"Declined date time","Refusé le",,
"Default",,,
"Delivered",,,
"Do not include https://",,,
"DocuSign",,,
"DocuSign Service return any envelope id",,,
"DocuSign account","Compte DocuSign",,
"DocuSign accounts","Comptes DocuSign",,
"DocuSign envelope","Enveloppe DocuSign",,
"DocuSign envelope setting","Paramétrage enveloppe DocuSign",,
"DocuSignEnvelope.Completed","Complétée",,
"DocuSignEnvelope.Declined","Refusée",,
"DocuSignEnvelope.Delivered","Remise",,
"DocuSignEnvelope.Draft","Brouillon",,
"DocuSignEnvelope.Sent","Envoyée",,
"DocuSignEnvelope.Voided","Invalidée",,
"Document",,,
"Document id",,,
"Document setting","Paramétrage document",,
"Document settings","Paramétrages document",,
"Documents",,,
"Email",,,
"Email subject","Objet de l'email",,
"Envelope",,,
"Envelope id",,,
"Envelope setting","Paramétrage enveloppe",,
"Envelope settings","Paramétrages enveloppe",,
"Envelope status","Status enveloppe",,
"Envelopes","Enveloppes",,
"Field","Champ",,
"Field setting","Paramétrage champs",,
"Field settings","Paramétrages champs",,
"Fields","Champs",,
"File default path",,,
"File extension","Extension fichier",,
"Font",,,
"Font color",,,
"Font size",,,
"For example, use 'pixels'",,,
"Full name",,,
"Generate consent url",,,
"In person signer",,,
"Integration Key",,,
"List",,,
"List item",,,
"Model",,,
"Name",,,
"OAuth base path",,,
"Ordered documents","Documents ordonnés",,
"Ordered signers","Signataires ordonnés",,
"Page number",,,
"Param item unknown type",,,
"Parent",,,
"RSA key",,,
"Radio button",,,
"Radio group",,,
"Recipient id",,,
"Recipient status","Statut signataire",,
"Related to",,,
"Required",,,
"Select envelope setting","Sélectionner paramétrage enveloppe",,
"Send",,,
"Seq.",,,
"Sign Here",,,
"Signed file","Fichier signé",,
"Signer",,,
"Signer default Path",,,
"Signer setting","Paramétrage signataire",,
"Signer settings","Paramétrages signataire",,
"Signers","Signataires",,
"Status",,,
"Synchronise status",,,
"Tab label",,,
"The DocuSign account is empty","Le compte DocuSign est vide",,
"The email address is empty for the partner","L'adresse email du tiers est vide",,
"The envelope setting is empty","Le paramétrage de l'enveloppe est vide",,
"The in person signer is not found",,,
"The signer is not found",,,
"Type",,,
"Unsigned file","Fichier non signé",,
"User id",,,
"Validate",,,
"Value",,,
"Voided","Annulé",,
"Webhook setting","Paramétrage webhook",,
"X position",,,
"Y position",,,
