"key","message","comment","context"
"%s : EmailAddress not exist",,,
"App office365",,,
"Application (client) ID",,,
"Application (client) secret",,,
"Authenticate",,,
"Authentication url",,,
"Birth date",,,
"Business address",,,
"Contact",,,
"Job title",,,
"Lead",,,
"Nick name",,,
"Office365",,,
"Office365 calendar events",,,
"Office365 calendars",,,
"Office365 contacts",,,
"Office365 id",,,
"Office365 mail",,,
"Office365 mails",,,
"Optional",,,
"Other address",,,
"Partner",,,
"Received date",,,
"Redirect URI",,,
"Refresh token",,,
"Required",,,
"Sync calendar",,,
"Sync contact",,,
"Sync mail",,,
"Token doesn't exist",,,
