"key","message","comment","context"
"A card already exists.",,,
"Accept",,,
"Accepted",,,
"Access denied or incorrect site / rank / username.",,,
"Activate DMS",,,
"Activate Paypal",,,
"Activate Stripe",,,
"Activate purchases",,,
"Activate task editor",,,
"Active Paybox",,,
"Add default address",,,
"Added on",,,
"Address is missing",,,
"Address with given id (%s) not found for partner (%s)",,,
"Address with id (%s) not found",,,
"All closed tickets",,,
"All messages",,,
"All open tickets",,,
"All quotations",,,
"Allow panel side for customers DMS",,,
"Amount due",,,
"Announce unread ids",,,
"Announcement date",,,
"Announces",,,
"App",,,
"App Customer Portal",,,
"App customer portal",,,
"Are you sure you want to confirm ?",,,
"Assign to the customer",,,
"Assign to the provider",,,
"Brand",,,
"CVC",,,
"Can confirm online","Может подтвердить онлайн",,
"Cancel",,,
"Canceled",,,
"Canceled discount on",,,
"Canceled payment on",,,
"Cancelled from Portal",,,
"Card",,,
"Card not valid.",,,
"Card number",,,
"Card with given id (%s) not found for partner (%s)",,,
"Cards",,,
"Client categories",,,
"Client portal dashboard",,,
"Close",,,
"Comments",,,
"Company",,,
"Confirm",,,
"Confirmation code",,,
"Confirmation code is sent to your mail",,,
"Connection to the authorization center failed.",,,
"Country code of the IP address of the buyer's browser unauthorized.",,,
"Customer",,,
"Customer does not have any address or it is not properly configured on stripe",,,
"Customer name is missing on stripe",,,
"Customer notification template",,,
"Dashboard",,,
"Date",,,
"Decline",,,
"Default",,,
"Default value for 'Allow panel side for customers DMS'",,,
"Description",,,
"Discounted on",,,
"Discussion group",,,
"Discussion groups",,,
"Discussion post",,,
"Discussion post list",,,
"Discussion posts",,,
"Discussions",,,
"Discussions & Resources",,,
"Display product catalog",,,
"Display the product on the eShop",,,
"Email",,,
"Email address empty",,,
"Enable notifications for the customer",,,
"Enable notifications for the seller",,,
"Error creating a subscription.",,,
"Eshop",,,
"Expiry month",,,
"Expiry year",,,
"File",,,
"File with given id (%s) not found or does not exists",,,
"First name",,,
"General announcement",,,
"General announcements",,,
"History",,,
"Idea",,,
"Idea history",,,
"Idea tag",,,
"Idea tags",,,
"Idea unread ids",,,
"Ideas",,,
"If this option is not activated, you will have to activate the 'Document management' option directly on the user file of the partner(s) concerned.",,,
"Imputed on",,,
"Incorrect amount.",,,
"Incorrect expiry date.",,,
